iter	Passed	Remaining
673	1535	742
674	1536	739
675	1538	737
676	1540	734
677	1542	732
678	1543	729
679	1545	727
680	1548	725
681	1550	722
682	1551	720
683	1553	717
684	1555	715
685	1557	713
686	1559	710
687	1560	707
688	1563	705
689	1565	703
690	1566	700
691	1568	698
692	1570	695
693	1572	693
694	1574	690
695	1575	688
696	1578	686
697	1579	683
698	1581	680
699	1583	678
700	1584	676
701	1586	673
702	1588	671
703	1589	668
704	1591	666
705	1594	663
706	1595	661
707	1597	659
708	1599	656
709	1601	654
710	1603	651
711	1605	649
712	1607	647
713	1609	644
714	1611	642
715	1612	639
716	1615	637
717	1616	635
718	1618	632
719	1620	630
720	1622	627
721	1624	625
722	1625	622
723	1627	620
724	1629	618
725	1631	615
726	1633	613
727	1634	610
728	1637	608
729	1639	606
730	1641	603
731	1642	601
732	1644	599
733	1646	596
734	1648	594
735	1649	591
736	1651	589
737	1654	587
738	1655	584
739	1657	582
740	1658	579
741	1660	577
742	1662	575
743	1664	572
744	1666	570
745	1667	567
746	1669	565
747	1671	563
748	1672	560
749	1674	558
750	1676	555
751	1677	553
752	1679	550
753	1681	548
754	1683	546
755	1685	543
756	1686	541
757	1689	539
758	1691	537
759	1693	534
760	1694	532
761	1697	530
762	1699	527
763	1700	525
764	1702	523
765	1704	520
766	1706	518
767	1708	516
768	1710	513
769	1712	511
770	1713	508
771	1715	506
772	1717	504
773	1719	501
774	1720	499
775	1722	497
776	1724	494
777	1726	492
778	1728	490
779	1729	487
780	1731	485
781	1733	483
782	1734	480
783	1736	478
784	1738	476
785	1740	473
786	1741	471
787	1743	469
788	1745	466
789	1746	464
790	1748	462
791	1750	459
792	1752	457
793	1753	455
794	1755	452
795	1757	450
796	1759	448
797	1760	445
798	1762	443
799	1764	441
800	1766	438
801	1767	436
802	1769	434
803	1771	431
804	1773	429
805	1775	427
806	1776	424
807	1779	422
808	1781	420
809	1782	418
810	1784	415
811	1786	413
812	1788	411
813	1790	409
814	1792	406
815	1794	404
816	1796	402
817	1797	399
818	1799	397
819	1801	395
820	1803	393
821	1805	390
822	1807	388
823	1809	386
824	1811	384
825	1813	382
826	1815	379
827	1817	377
828	1819	375
829	1820	372
830	1822	370
831	1824	368
832	1826	366
833	1828	363
834	1830	361
835	1832	359
836	1834	357
837	1835	354
838	1839	352
839	1840	350
840	1842	348
841	1844	346
842	1846	343
843	1848	341
844	1849	339
845	1851	337
846	1853	334
847	1855	332
848	1856	330
849	1858	327
850	1860	325
851	1863	323
852	1865	321
853	1866	319
854	1868	316
855	1870	314
856	1872	312
857	1874	310
858	1876	308
859	1879	305
860	1881	303
861	1883	301
862	1885	299
863	1886	296
864	1888	294
865	1891	292
866	1893	290
867	1895	288
868	1897	285
869	1899	283
870	1901	281
871	1902	279
872	1904	277
873	1906	274
874	1908	272
875	1910	270
876	1911	268
877	1913	265
878	1915	263
879	1917	261
880	1919	259
881	1921	257
882	1922	254
883	1924	252
884	1926	250
885	1928	248
886	1929	245
887	1931	243
888	1933	241
889	1935	239
890	1937	237
891	1938	234
892	1940	232
893	1942	230
894	1944	228
895	1946	225
896	1949	223
897	1951	221
898	1952	219
899	1954	217
900	1956	214
901	1958	212
902	1960	210
903	1961	208
904	1963	206
905	1965	203
906	1967	201
907	1969	199
908	1970	197
909	1973	195
910	1975	192
911	1976	190
912	1978	188
913	1980	186
914	1982	184
915	1984	181
916	1986	179
917	1988	177
918	1990	175
919	1992	173
920	1994	171
921	1997	168
922	1998	166
923	2000	164
924	2002	162
925	2004	160
926	2006	157
927	2008	155
928	2010	153
929	2012	151
930	2013	149
931	2016	147
932	2018	144
933	2020	142
934	2021	140
935	2024	138
936	2026	136
937	2027	134
938	2029	131
939	2031	129
940	2033	127
941	2034	125
942	2036	123
943	2038	120
944	2040	118
945	2041	116
946	2043	114
947	2045	112
948	2047	110
949	2048	107
950	2050	105
951	2052	103
952	2054	101
953	2056	99
954	2058	96
955	2060	94
956	2062	92
957	2063	90
958	2065	88
959	2066	86
960	2069	83
961	2071	81
962	2072	79
963	2074	77
964	2076	75
965	2078	73
966	2080	70
967	2081	68
968	2084	66
969	2085	64
970	2087	62
971	2088	60
972	2090	58
973	2092	55
974	2094	53
975	2096	51
976	2098	49
977	2100	47
978	2101	45
979	2103	42
980	2105	40
981	2107	38
982	2108	36
983	2110	34
984	2115	32
985	2117	30
986	2119	27
987	2120	25
988	2122	23
989	2124	21
990	2126	19
991	2128	17
992	2129	15
993	2131	12
994	2133	10
995	2135	8
996	2137	6
997	2139	4
998	2140	2
999	2142	0
